,ICHMOKU_alert_1,ICHMOKU_alert_2,ICHMOKU_signal_1,ICHMOKU_signal_1_1,ICHMOKU_signal_2,ICHMOKU_signal_2_1,MACD,MACD_alert,MACD_signal,MACD_signal_1,MACDhist,MACDsignal,SAR,SAR_alert,SAR_signal,SAR_signal_1,base_line_fast,base_line_slow,close,conversion_line_fast,conversion_line_slow,exchange,high,lagging_span,lead_span_A,lead_span_B,low,open,scrip,scrip_name,volume
2021-06-10,,,,,,,22.04453286674925,,BUY,BUY,10.096588987038974,11.947943879710277,3114.0566793355683,,BUY,BUY,3178.0,3173.0,3216.8,3178.0,3173.0,NSE,3224.0,,3167.225,2472.5,3193.0,3210.0,TCS,Tata Consultancy Services Limited,1873944
2021-06-10,,,,,,,12.681178094494726,,SELL,SELL,-2.190898921445889,14.872077015940615,1472.05,,BUY,BUY,1496.35,1499.525,1481.05,1496.35,1499.525,NSE,1489.0,,1425.025,1245.6750000000002,1473.65,1482.1,HDFCBANK,HDFC Bank Limited,5739704
2021-06-09,,,,,,,18.702564994456225,,BUY,BUY,9.27876836150569,9.423796632950534,3103.8876949299656,,BUY,BUY,3176.825,3173.0,3200.25,3176.825,3173.0,NSE,3220.0,,3160.025,2472.5,3186.2,3202.0,TCS,Tata Consultancy Services Limited,1710737
2021-06-09,,,,,,,14.470666688344863,TRUE,SELL,BUY,-0.9491350579572249,15.419801746302088,1468.4522944813195,,BUY,BUY,1498.5,1499.525,1480.3,1498.5,1499.525,NSE,1502.0,,1403.0,1245.6750000000002,1472.05,1483.9,HDFCBANK,HDFC Bank Limited,5110362
2021-06-09,,,,,,,64.3064337100127,,BUY,BUY,16.753060248479706,47.55337346153299,2059.6039542656645,,BUY,BUY,2203.975,2120.0,2175.0,2203.975,2120.0,NSE,2221.0,,1936.95,2054.55,2157.95,2219.0,RELIANCE,Reliance Industries Limited,5263800
2021-06-08,,,,,,,15.850052328446054,,BUY,BUY,8.745947785871945,7.1041045425741105,3092.8344510108323,,BUY,BUY,3173.0,3173.0,3200.15,3173.0,3173.0,NSE,3231.0,,3205.575,2464.5,3187.2,3198.0,TCS,Tata Consultancy Services Limited,2573779
2021-06-08,,,,,,,66.09000651363112,,BUY,BUY,22.724898114218057,43.36510839941307,2038.4488380729604,,BUY,BUY,2203.5,2106.125,2214.6,2203.5,2106.125,NSE,2227.15,,1919.35,2054.55,2198.15,2226.6,RELIANCE,Reliance Industries Limited,4461566
2021-06-08,,,,,,,16.620586069028604,,BUY,BUY,0.9635005582372109,15.657085510791394,1463.361189653608,,BUY,BUY,1503.225,1494.725,1483.05,1503.225,1494.725,NSE,1501.3,,1399.0,1245.6750000000002,1481.5,1496.55,HDFCBANK,HDFC Bank Limited,4934741
2021-06-07,,,,,,,18.84291100846076,,BUY,BUY,3.4267006372286684,15.416210371232092,1457.8273800582697,,BUY,BUY,1507.375,1494.725,1499.85,1507.375,1494.725,NSE,1514.0,,1399.0,1245.6750000000002,1496.0,1510.0,HDFCBANK,HDFC Bank Limited,4043513
2021-06-07,,,,,,,11.988844491779219,,BUY,BUY,7.071226895673094,4.917617596106124,3084.86111809663,,BUY,BUY,3152.725,3160.775,3183.2,3152.725,3160.775,NSE,3190.45,,3213.7,2464.5,3134.0,3145.0,TCS,Tata Consultancy Services Limited,2558489
2021-06-07,,,,,,,63.37318479732403,,BUY,BUY,25.689300926465478,37.68388387085855,2014.9431534144003,,BUY,BUY,2198.25,2106.125,2227.4,2198.25,2106.125,NSE,2242.0,,1941.525,2054.55,2185.05,2202.0,RELIANCE,Reliance Industries Limited,7537445
2021-06-04,,,,,,,57.68046784600301,,BUY,BUY,26.41890920676083,31.261558639242182,1988.8257260160003,,BUY,BUY,2167.525,2105.0,2190.5,2167.525,2105.0,NSE,2216.45,,1949.35,2054.55,2184.25,2214.8,RELIANCE,Reliance Industries Limited,6673846
2021-06-04,,,,,,,8.6119742058263,,BUY,BUY,5.4621633336384505,3.14981087218785,3076.378849038968,,BUY,BUY,3142.675,3149.925,3143.75,3142.675,3149.925,NSE,3156.85,,3213.7,2464.5,3125.0,3128.0,TCS,Tata Consultancy Services Limited,1835452
2021-06-04,,,,,,,19.69478158921288,,BUY,BUY,5.135246377287956,14.559535211924924,1451.812369628554,,BUY,BUY,1507.25,1494.725,1500.95,1507.25,1494.725,NSE,1520.65,,1406.95,1245.6750000000002,1499.2,1516.0,HDFCBANK,HDFC Bank Limited,4711716
2021-06-03,,,,,,,53.332593223103004,,BUY,BUY,28.67576188555103,24.656831337551974,1959.8063622400002,,BUY,BUY,2120.0,2105.0,2209.65,2120.0,2105.0,NSE,2250.0,,1968.45,2017.175,2196.1,2221.0,RELIANCE,Reliance Industries Limited,11062276
2021-06-03,,,,,,,8.193321961488891,,BUY,BUY,6.409051922710654,1.7842700387782373,3067.3551585520936,,BUY,BUY,3156.5,3144.875,3141.25,3156.5,3144.875,NSE,3154.55,,3213.7,2464.5,3122.65,3154.55,TCS,Tata Consultancy Services Limited,1281250
2021-06-03,,,,,,,20.38360867098436,,BUY,BUY,7.107885053381423,13.275723617602935,1445.2743148136458,,BUY,BUY,1502.875,1494.725,1520.55,1502.875,1494.725,NSE,1524.95,,1406.95,1244.65,1487.75,1508.0,HDFCBANK,HDFC Bank Limited,5142760
